market_id,market,countryiso3,admin1,admin2,latitude,longitude
360,Ampara,LKA,Eastern,Ampara,7.28,81.67
361,Batticaloa,LKA,Eastern,Batticaloa,7.72,81.7
362,Jaffna,LKA,Northern,Jaffna,9.66,80.01
363,Kilinochchi,LKA,Northern,Kilinochchi,9.4,80.4
364,Mannar,LKA,Northern,Mannar,8.98,79.9
365,Mulaitivu,LKA,Northern,Mullattivu,9.27,80.81
366,Trincomalee,LKA,Eastern,Trincomalee,8.57,81.23
367,Vavuniya,LKA,Northern,Vavuniya,8.75,80.5
368,Colombo City,LKA,Western,Colombo,6.93,79.85
1565,National Average,LKA,,,,
1888,Polonnaruwa,LKA,North Central,Polonnaruwa,7.93,81.01
1889,Monaragala,LKA,Uva,Moneragala,6.87,81.23
1906,Anuradhapura,LKA,North Central,Anuradhapura,8.34,80.33
1907,Badulla,LKA,Uva,Badulla,6.99,81.04
1908,Hambantota,LKA,Southern,Hambantota,6.14,81.08
1909,Gampaha,LKA,Western,Gampaha,7.08,79.98
1910,Galle,LKA,Southern,Galle,6.04,80.22
1911,Kalutara,LKA,Western,Kalutara,6.59,79.96
1912,Kandy,LKA,Central,Kandy,7.29,80.59
1913,Kegalle,LKA,Sabaragamuwa,Kegalle,7.25,80.34
1914,Kurunegala,LKA,North Western,Kurunegala,7.48,80.32
1915,Matale,LKA,Central,Matale,7.47,80.62
1916,Matara,LKA,Southern,Matara,5.95,80.52
1917,Nuwara Eliya,LKA,Central,Nuwara Eliya,6.95,80.75
1918,Puttalam,LKA,North Western,Puttalam,8.04,79.84
1919,Rathnapura,LKA,Sabaragamuwa,Ratnapura,6.72,80.34
2786,Economic Centre-Pettah,LKA,Western,Colombo,6.93,79.85
2787,Economic Centre-Maradagahamula,LKA,Western,Gampaha,7.23,79.99
2788,Economic Centre-Dambulla,LKA,Central,Matale,7.87,80.65
2789,Fish market-Peliyagoda,LKA,Western,Gampaha,6.97,79.89
2790,Fish market-Negombo,LKA,Western,Gampaha,7.21,79.83
5276,Addalaichenai,LKA,Eastern,Ampara,7.25,81.85
5277,Annamalai,LKA,Eastern,Ampara,7.44,81.76
5279,Arachchikattuwa,LKA,North Western,Puttalam,7.67,79.83
5280,Medagama,LKA,North Central,Polonnaruwa,7.85,81.17
5281,Ettampitaiya,LKA,Uva,Badulla,6.94,80.99
5282,Badalkumbura,LKA,Uva,Moneragala,6.9,81.24
5283,Bakinigahawala,LKA,Uva,Moneragala,7,81.28
5284,Cheddikulam,LKA,Northern,Vavuniya,8.64,80.32
5285,Chenkalady,LKA,Eastern,Batticaloa,7.78,81.59
5286,Chilaw,LKA,North Western,Puttalam,7.58,79.8
5287,Dammbagalla,LKA,Uva,Moneragala,6.98,81.37
5288,Dimbulagala,LKA,North Central,Polonnaruwa,7.86,81.11
5289,Diyasenpura,LKA,North Central,Polonnaruwa,8.13,81.02
5290,Eppawala,LKA,North Central,Anuradhapura,8.15,80.41
5291,Eravur,LKA,Eastern,Batticaloa,7.78,81.6
5292,Galewela,LKA,Central,Matale,7.76,80.57
5293,Girandurukotte,LKA,Uva,Badulla,7.47,81.02
5294,Haliela,LKA,Uva,Badulla,6.95,81.03
5295,Hammbegamuwa,LKA,Uva,Moneragala,6.54,80.95
5296,Haputale,LKA,Uva,Badulla,6.77,80.96
5297,Hettipola,LKA,Central,Matale,7.54,80.91
5298,Hingurakgoda,LKA,North Central,Polonnaruwa,8.04,80.95
5299,Jayanthipura,LKA,North Central,Polonnaruwa,7.98,80.96
5300,Kachchaveli,LKA,Eastern,Trincomalee,8.82,81.1
